"","Country","Rank","National Cyber Security Index","Digital Development Level","Difference","Population_million","NCSI_perc","Area_KM","GDP_per_capita_thousand","ICT_Development_Index_perc","Networked_Readiness_Index_perc","1. Cyber security policy development perc","1.1. Cyber security policy unit","1.2. Cyber security policy coordination format","1.3. Cyber security strategy","1.4. Cyber security strategy implementation plan","2. Cyber threat analysis and information perc","2.1. Cyber threats analysis unit","2.2. Public cyber threat reports are published annually","2.3. Cyber safety and security website","3. Education and professional development perc","3.1. Cyber safety competencies in primary or secondary education","3.2. Bachelor’s level cyber security programme","3.3. Master’s level cyber security programme","3.4. PhD level cyber security programme","3.5. Cyber security professional association","4. Contribution to global cyber security perc","4.1. Convention on Cybercrime","4.2. Representation in international cooperation formats","4.3. International cyber security organisation hosted by the country","4.4. Cyber security capacity building for other countries","5. Protection of digital services perc","5.1. Cyber security responsibility for digital service providers","5.2. Cyber security standard for the public sector","5.3. Competent supervisory authority","6. Protection of essential services perc","6.1. Operators of essential services are identified","6.2. Cyber security requirements for operators of essential services","6.3. Competent supervisory authority","6.4. Regular monitoring of security measures","7. E-identification and trust services perc","7.1. Unique persistent identifier","7.2. Requirements for cryptosystems","7.3. Electronic identification","7.4. Electronic signature","7.5. Timestamping","7.6. Electronic registered delivery service","7.7. Competent supervisory authority","8. Protection of personal data perc","8.1. Personal data protection legislation","8.2. Personal data protection authority","9. Cyber incidents response perc","9.1. Cyber incidents response unit","9.2. Reporting responsibility","9.3. Single point of contact for international coordination","10. . Cyber crisis management perc","10.1. Cyber crisis management plan","10.2. National-level cyber crisis management exercise","10.3. Participation in international cyber crisis exercises","10.4. Operational support of volunteers in cyber crises","11. . Fight against cybercrime perc","11.1. Cybercrimes are criminalised","11.2. Cybercrime unit","11.3. Digital forensics unit","11.4. / contact point for international cybercrime","12. . Military cyber operations perc","12.1. Cyber operations unit","12.2. Cyber operations exercise","12.3. Participation in international cyber exercises"
"132","Somalia",128,18.18,NA,NA,15.9,18,637700,0,0,0,43,3,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,1,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,3,0,0,0,50,3,0,0,20,0,0,1,0,33,0,0,3,24,0,0,0,0
"133","South Africa",90,36.36,49.24,-12.88,55.7,36,1200000,13.6,50,49,14,0,0,1,0,0,0,0,0,44,0,2,0,0,2,17,0,1,0,0,0,0,0,0,17,1,0,0,0,56,1,0,0,1,0,0,3,100,1,3,50,3,0,0,0,0,0,0,0,100,1,3,3,24,0,0,0,0
"134","South Sudan",163,1.3,NA,NA,12.1,1,619700,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,0,24,0,0,0,0
"135","Spain",9,88.31,72.21,16.1,46.4,88,506000,40.3,78,67,86,3,2,1,0,100,3,1,1,100,1,2,2,2,2,50,1,1,0,1,100,1,1,3,83,1,1,3,0,100,1,1,1,1,1,1,3,100,1,3,67,3,1,0,60,0,2,1,0,100,1,3,3,24,100,3,2,1
"136","Sri Lanka",78,44.16,43.02,1.14,21,44,65600,13.8,39,47,57,3,0,1,0,20,0,0,1,100,1,2,2,2,2,50,1,1,0,1,0,0,0,0,0,0,0,0,0,11,0,0,0,1,0,0,0,25,1,0,50,3,0,0,20,0,0,1,0,67,1,0,3,24,83,3,2,0
"137","Sudan",139,11.69,25.5,-13.81,39.6,12,1900000,4.7,26,0,0,0,0,0,0,20,0,0,1,0,0,0,0,0,0,17,0,1,0,0,0,0,0,0,0,0,0,0,0,22,1,0,0,1,0,0,0,0,0,0,50,3,0,0,20,0,0,1,0,11,1,0,0,24,0,0,0,0
"138","Suriname",115,22.08,51.5,-29.42,0.5,22,163800,13.9,52,0,43,3,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,1,0,0,0,0,0,0,0,0,0,0,0,56,0,0,1,1,0,0,3,0,0,0,50,3,0,0,0,0,0,0,0,44,1,3,0,24,17,0,0,1
"139","Sweden",14,84.42,81.51,2.91,9.9,84,450300,53.1,84,79,100,3,2,1,1,100,3,1,1,100,1,2,2,2,2,33,1,1,0,0,80,0,1,3,33,1,1,0,0,89,1,0,1,1,1,1,3,100,1,3,100,3,1,2,60,0,2,1,0,100,1,3,3,24,100,3,2,1
"140","Switzerland",23,76.62,82.93,-6.31,8.3,77,41300,61.4,87,78,71,3,0,1,1,100,3,1,1,100,1,2,2,2,2,83,1,1,3,0,20,0,1,0,67,1,0,3,0,78,1,0,0,1,1,1,3,100,1,3,50,3,0,0,20,0,0,1,0,100,1,3,3,24,100,3,2,1
"141","Syrian Arab Republic",131,15.58,33.4,-17.82,18.6,16,185200,2.9,33,0,14,0,0,1,0,40,0,1,1,0,0,0,0,0,0,17,0,1,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,1,0,0,3,0,0,0,50,3,0,0,0,0,0,0,0,11,1,0,0,24,0,0,0,0
"142","Tajikistan",146,10.39,34.56,-24.17,8.6,10,143100,3.1,0,35,0,0,0,0,0,0,0,0,0,44,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1,0,0,1,0,0,0,25,1,0,0,0,0,0,0,0,0,0,0,11,1,0,0,24,0,0,0,0
"143","Tanzania, United Republic of",110,24.68,26.96,-2.28,55.2,25,945100,3.6,18,36,0,0,0,0,0,0,0,0,0,78,1,2,2,0,2,17,0,1,0,0,20,0,1,0,0,0,0,0,0,11,0,0,0,1,0,0,0,0,0,0,83,3,0,2,0,0,0,0,0,44,1,3,0,24,0,0,0,0
"144","Thailand",42,64.94,56.63,8.31,65.3,65,513100,18.7,57,57,86,3,2,1,0,100,3,1,1,89,0,2,2,2,2,17,0,1,0,0,20,0,1,0,50,1,1,0,1,56,1,0,0,1,0,0,3,100,1,3,100,3,1,2,60,0,2,1,0,44,1,3,0,24,67,3,0,1
"145","Tonga",113,23.38,43.4,-20.02,0.1,23,700,6.5,43,0,29,0,2,0,0,80,3,0,1,0,0,0,0,0,0,33,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,3,0,0,20,0,0,1,0,67,1,0,3,24,0,0,0,0
"146","Trinidad and Tobago",95,33.77,52.6,-18.83,1.3,34,5100,32.5,60,45,57,3,0,1,0,20,0,0,1,44,0,0,2,0,2,17,0,1,0,0,0,0,0,0,17,1,0,0,0,11,0,0,0,1,0,0,0,100,1,3,83,3,0,2,20,0,0,1,0,44,1,3,0,24,0,0,0,0
"147","Tunisia",66,53.25,46.26,6.99,11.2,53,163600,12.1,48,44,14,0,0,1,0,80,3,0,1,100,1,2,2,2,2,17,0,1,0,0,80,1,0,3,0,0,0,0,0,67,1,0,0,1,1,0,3,100,1,3,67,3,1,0,60,0,2,1,0,44,1,3,0,24,17,0,0,1
"148","Türkiye",64,54.55,58.29,-3.74,78.7,55,783600,27.6,61,56,86,3,2,1,0,20,0,0,1,44,0,0,2,0,2,50,1,1,0,1,20,0,1,0,17,1,0,0,0,67,1,0,1,1,0,0,3,100,1,3,50,3,0,0,60,0,2,1,0,100,1,3,3,24,17,0,0,1
"149","Turkmenistan",156,7.79,NA,NA,4.8,8,488100,18.8,0,0,0,0,0,0,0,0,0,0,0,22,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,1,1,0,0,25,1,0,0,0,0,0,0,0,0,0,0,11,1,0,0,24,0,0,0,0
"150","Tuvalu",162,2.6,NA,NA,0,3,0,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,1,0,0,0,0,0,0,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0
"151","Uganda",62,54.55,26.71,27.84,33.9,55,241600,2.4,22,32,29,0,2,0,0,80,3,0,1,78,1,2,2,0,2,17,0,1,0,0,80,0,1,3,50,1,1,0,1,67,1,0,0,1,1,0,3,100,1,3,50,3,0,0,20,0,0,1,0,78,1,3,3,24,0,0,0,0
"152","Ukraine",24,75.32,55.96,19.36,42.7,75,603700,8.7,56,56,100,3,2,1,1,80,3,0,1,89,0,2,2,2,2,33,1,1,0,0,20,1,0,0,100,1,1,3,1,100,1,1,1,1,1,1,3,100,1,3,67,3,1,0,60,0,2,1,0,100,1,3,3,24,17,0,0,1
"153","United Arab Emirates",84,40.26,68.87,-28.61,9.9,40,83600,70.4,72,66,14,0,0,1,0,20,0,0,1,89,0,2,2,2,2,17,0,1,0,0,0,0,0,0,17,0,1,0,0,67,1,0,1,1,0,0,3,0,0,0,83,3,0,2,20,0,0,1,0,78,1,3,3,24,0,0,0,0
"154","United Kingdom",22,77.92,79.96,-2.04,65.1,78,242900,44.1,87,73,71,3,0,1,1,100,3,1,1,100,1,2,2,2,2,100,1,1,3,1,20,1,0,0,67,1,0,3,0,78,1,0,0,1,1,1,3,100,1,3,50,3,0,0,20,0,0,0,1,100,1,3,3,24,100,3,2,1
"155","United States",43,64.94,81.05,-16.11,323.9,65,9600000,61.7,82,80,100,3,2,1,1,20,0,0,1,89,0,2,2,2,2,100,1,1,3,1,20,0,1,0,17,1,0,0,0,0,0,0,0,0,0,0,0,100,1,3,50,3,0,0,80,1,2,1,0,100,1,3,3,24,100,3,2,1
"156","Uruguay",54,59.74,63.86,-4.12,3.5,60,181000,23.6,72,56,43,3,0,0,0,100,3,1,1,67,0,0,2,2,2,17,0,1,0,0,20,0,1,0,50,0,0,3,0,89,1,0,1,1,1,1,3,100,1,3,83,3,0,2,20,0,0,1,0,67,0,3,3,24,50,0,2,1
"157","Uzbekistan",89,36.36,49,-12.64,31.6,36,447400,7,49,0,0,0,0,0,0,80,3,1,0,44,0,2,0,2,0,17,0,1,0,0,20,1,0,0,0,0,0,0,0,78,1,0,1,1,0,1,3,100,1,3,50,3,0,0,0,0,0,0,0,44,1,0,3,24,0,0,0,0
"158","Vanuatu",108,25.97,28.1,-2.13,0.3,26,12200,2.9,28,0,71,3,0,1,1,20,0,0,1,0,0,0,0,0,0,17,0,1,0,0,0,0,0,0,17,1,0,0,0,11,0,0,0,1,0,0,0,0,0,0,83,3,0,2,0,0,0,0,0,67,1,3,0,24,0,0,0,0
"159","Venezuela",104,28.57,43.14,-14.57,31,29,916400,10.4,52,35,43,3,0,0,0,20,0,0,1,0,0,0,0,0,0,17,0,1,0,0,0,0,0,0,0,0,0,0,0,78,1,1,0,1,1,0,3,0,0,0,50,3,0,0,0,0,0,0,0,78,1,3,3,24,0,0,0,0
"160","Vietnam",88,36.36,47.69,-11.33,92.7,36,331200,7.5,44,51,29,0,0,1,1,0,0,0,0,67,0,2,2,0,2,33,0,1,0,1,80,1,0,3,50,1,1,0,1,11,0,0,0,1,0,0,0,0,0,0,100,3,1,2,60,0,2,1,0,11,1,0,0,24,0,0,0,0
"161","Yemen",152,7.79,18,-10.21,27.5,8,528000,2.8,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,1,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,1,0,0,0,25,1,0,50,3,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0
"162","Zambia",59,55.84,29.66,26.18,15.9,56,752600,4,25,34,57,0,2,1,1,0,0,0,0,67,0,2,2,0,2,17,0,1,0,0,60,0,0,3,100,1,1,3,1,78,1,0,1,1,1,0,3,100,1,3,83,3,0,2,0,0,0,0,0,78,1,3,3,24,0,0,0,0
"163","Zimbabwe",130,15.58,28.97,-13.39,14.2,16,390800,2.3,29,29,0,0,0,0,0,0,0,0,0,78,1,2,2,0,2,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,1,3,0,24,0,0,0,0
