"","region","Country","Overall score","Legal measure","Technical measure","Organizational measure","Capacity Development","Cooperative measure"
"159","Asia-Pacific region","Myanmar (Union of)",36.41,9.39,3.64,4.71,8.92,9.75
"160","Asia-Pacific region","Nepal (Federal Democratic Republic of)",44.99,15.61,5.94,9.58,9.6,4.26
"161","Asia-Pacific region","Pakistan (Islamic Republic of)",64.88,15.97,12.26,11.01,17.25,8.38
"162","Asia-Pacific region","Philippines (Republic of the)",77,20,13,11.85,12.74,19.41
"163","Asia-Pacific region","Singapore (Republic of)",98.52,20,19.54,18.98,20,20
"164","Asia-Pacific region","Sri Lanka (Democratic Socialist Republic of)",58.65,13.05,14.15,14.82,6.58,10.04
"165","Asia-Pacific region","Timor-Leste (Democratic Republic of)",4.26,0,0,0,0,4.26
"166","Asia-Pacific region","Tuvalu",5.78,0,0,0,1.71,4.07
"167","Asia-Pacific region","Viet Nam (Socialist Republic of)",94.55,20,16.31,18.98,19.26,20
"168","Commonwealth of Independent States region","Azerbaijan (Republic of)",89.31,20,19.19,13.14,16.99,20
"169","Commonwealth of Independent States region","Kazakhstan (Republic of)",93.15,20,19.54,18.46,15.15,20
"170","Commonwealth of Independent States region","Russian Federation",98.06,20,19.08,18.98,20,20
"171","Commonwealth of Independent States region","Turkmenistan",14.48,10.22,0,0,0,4.26
"172","Europe","Andorra (Principality of)",26.38,8.37,4.11,0,4.41,9.49
"173","Europe","Belgium",96.25,20,20,16.25,20,20
"174","Europe","Bulgaria (Republic of)",67.38,17.34,7.84,13.72,14.92,13.57
"175","Europe","Cyprus (Republic of)",88.82,20,18.73,18.41,13.73,17.94
"176","Europe","Denmark",92.6,19.3,18.94,18.98,19.48,15.89
"177","Europe","Finland",92.07,20,20,14.33,17.74,20
"178","Europe","Georgia",81.07,17.75,17.13,14.67,15.89,15.63
"179","Europe","Greece",93.98,19.43,15.83,18.98,19.74,20
"180","Europe","Iceland",79.81,17.78,16.17,17.62,11.99,16.25
"181","Europe","Israel (State of)",90.93,19.68,16.99,15.02,19.24,20
"182","Europe","Latvia (Republic of)",97.28,20,19.21,18.98,19.09,20
"183","Europe","Lithuania (Republic of)",97.93,20,19.54,18.98,20,19.41
"184","Europe","Malta",83.65,20,15.59,13.41,18.76,15.89
"185","Europe","Monaco (Principality of)",72.57,16,12.77,12.7,13.75,17.34
"186","Europe","Netherlands (Kingdom of the)",97.05,20,19.84,18.98,18.82,19.41
"187","Europe","Poland (Republic of)",93.86,19.35,20,14.74,19.77,20
"188","Europe","Romania",76.29,18.6,18.4,6.42,12.88,20
"189","Europe","Serbia (Republic of)",89.8,19.1,18.99,18.67,14.66,18.38
"190","Europe","Slovenia (Republic of)",74.93,20,11.38,13.71,17.72,12.11
"191","Europe","Sweden",94.59,20,18.86,18.46,19.57,17.7
"192","Europe","North Macedonia (Republic of)",89.92,20,12.37,18.98,18.57,20
"193","Europe","Ukraine",65.93,17.46,11.6,13.06,10.94,12.87
"194","Europe","Vatican",0,0,0,0,0,0
